TIPUSCASDATA;COMARCACODI;COMARCADESCRIPCIO;MUNICIPICODI;MUNICIPIDESCRIPCIO;SEXECODI;SEXEDESCRIPCIO;TIPUSCASDESCRIPCIO;NUMCASOS
12/10/2020;36;TARRAGONES;43148;TARRAGONA;0;Home;Positiu PCR;11
14/09/2020;40;VALLES OCCIDENTAL;08291;VACARISSES;1;Dona;Positiu PCR;12
24/03/2020;41;VALLES ORIENTAL;08124;MOLLET DEL VALLÈS;1;Dona;Positiu PCR;13
29/08/2020;29;PRIORAT;43055;FALSET;1;Dona;Positiu PCR;1
20/10/2020;36;TARRAGONES;43907;LA CANONJA;0;Home;Positiu PCR;4
13/04/2020;40;VALLES OCCIDENTAL;08180;RIPOLLET;1;Dona;Positiu PCR;8
11/04/2020;SES;;SES;;SES;;Positiu PCR;4
17/10/2020;13;BARCELONES;08015;BADALONA;0;Home;Positiu PCR;36
17/09/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;0;Home;Positiu PCR;6
01/11/2020;36;TARRAGONES;43148;TARRAGONA;0;Home;Positiu PCR;21
30/09/2020;13;BARCELONES;08015;BADALONA;1;Dona;Positiu PCR;29
21/03/2020;13;BARCELONES;08101;L'HOSPITALET DE LLOBREGAT;0;Home;Positiu PCR;33
27/03/2020;06;ANOIA;08048;CARME;0;Home;Positiu PCR;1
16/09/2020;21;MARESME;08121;MATARÓ;1;Dona;Positiu PCR;27
23/10/2020;36;TARRAGONES;43153;TORREDEMBARRA;1;Dona;Positiu PCR;6
28/05/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;31
10/04/2020;36;TARRAGONES;43148;TARRAGONA;0;Home;Positiu PCR;6
12/10/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;1;Dona;Positiu PCR;16
21/07/2020;13;BARCELONES;08245;SANTA COLOMA DE GRAMENET;0;Home;Positiu PCR;12
09/04/2020;33;SEGRIA;25120;LLEIDA;0;Home;Positiu PCR;12
05/11/2020;21;MARESME;08121;MATARÓ;1;Dona;Positiu PCR;35
23/03/2020;40;VALLES OCCIDENTAL;08266;CERDANYOLA DEL VALLÈS;0;Home;Positiu PCR;13
16/03/2020;41;VALLES ORIENTAL;08181;LA ROCA DEL VALLÈS;0;Home;Positiu PCR;1
28/08/2020;09;BAIX EBRE;43155;TORTOSA;0;Home;Positiu PCR;2
27/10/2020;17;GARRAF;08307;VILANOVA I LA GELTRÚ;0;Home;Positiu PCR;17
27/10/2020;11;BAIX LLOBREGAT;08114;MARTORELL;1;Dona;Positiu PCR;13
22/09/2020;41;VALLES ORIENTAL;08096;GRANOLLERS;0;Home;Positiu PCR;7
13/05/2020;11;BAIX LLOBREGAT;08217;SANT JOAN DESPÍ;0;Home;Positiu PCR;2
28/09/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;172
26/10/2020;10;BAIX EMPORDA;17022;LA BISBAL D'EMPORDÀ;1;Dona;Positiu PCR;9
22/03/2020;41;VALLES ORIENTAL;08159;PARETS DEL VALLÈS;1;Dona;Positiu PCR;3
14/10/2020;21;MARESME;08121;MATARÓ;0;Home;Positiu PCR;60
30/10/2020;40;VALLES OCCIDENTAL;08266;CERDANYOLA DEL VALLÈS;0;Home;Positiu PCR;21
12/04/2020;24;OSONA;08285;TORELLÓ;1;Dona;Positiu PCR;2
18/04/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;1;Dona;Positiu PCR;44
18/08/2020;13;BARCELONES;08019;BARCELONA;1;Dona;Positiu PCR;151
28/05/2020;33;SEGRIA;25120;LLEIDA;0;Home;Positiu PCR;9
06/07/2020;33;SEGRIA;25120;LLEIDA;0;Home;Positiu PCR;30
23/09/2020;03;ALT PENEDES;08305;VILAFRANCA DEL PENEDÈS;1;Dona;Positiu PCR;2
10/11/2020;10;BAIX EMPORDA;17118;PALAMÓS;0;Home;Positiu PCR;7
19/10/2020;40;VALLES OCCIDENTAL;08205;SANT CUGAT DEL VALLÈS;0;Home;Positiu PCR;16
14/09/2020;24;OSONA;08298;VIC;1;Dona;Positiu PCR;13
19/10/2020;22;MONTSIA;43014;AMPOSTA;0;Home;Positiu PCR;15
04/08/2020;11;BAIX LLOBREGAT;08073;CORNELLÀ DE LLOBREGAT;1;Dona;Positiu PCR;16
30/09/2020;33;SEGRIA;25120;LLEIDA;0;Home;Positiu PCR;15
25/09/2020;24;OSONA;08112;MANLLEU;1;Dona;Positiu PCR;8
31/07/2020;SES;;SES;;SES;;Positiu PCR;15
14/11/2020;11;BAIX LLOBREGAT;08147;OLESA DE MONTSERRAT;1;Dona;Positiu PCR;3
